#, B(Y1), C(X2), D(Y2), E(X3), F(Y3), G(X4), H(Y4), I(X5), J(Y5), K(X6), L(Y6), M(X5), N(Y5), O(X6), P(Y6), Q(X5), R(Y5), S(X6), T(Y6)
#, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature
#, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K
#, 7.2 ps pulse, , 7.2 ps pulse, , 8.6 ps pulse, , 8.6 ps pulse, , 12.85 ps pulse, , 12.85 ps pulse, , 15.6 ps pulse, , 15.6 ps pulse, , 0.35 ns, , 0.35 ns
14.64, -0.876990887, 14.06081913, 294.0334764, 0.86, -0.500676274, 2.886674458, 293.5204051, 9.548, -2.023158577, 12.57614736, 293.8872798, -0.36, 0.322032613, -5.654995555, 293.4085624, 120, 0.145116188, 66.00031044, 293.15298
14.884, -1.172113922, 14.18426834, 294.0256014, 1.104, -0.480266898, 3.274612765, 293.5260926, 9.792, -2.059493504, 12.65950717, 293.8762569, -0.116, 0.256157801, -5.438873588, 293.4445406, 122, 0.12494556, 66.00053702, 293.15298
15.128, -1.458884969, 14.30771755, 294.0191865, 1.348, -0.470354882, 3.662551071, 293.5363236, 10.036, -2.073455652, 12.70118708, 293.8707641, 0.128, 0.156171609, -5.006629652, 293.5192494, 124, 0.108136704, 66.0007636, 293.15298
15.372, -1.732573336, 14.43116676, 294.0143182, 1.592, -0.471713662, 4.011695546, 293.547083, 10.28, -2.061935091, 12.72412236, 293.8677563, 0.372, 0.023812612, -4.574385717, 293.5907842, 126, 0.095623444, 66.00121677, 293.15298
15.616, -1.98890369, 14.67806518, 294.0135737, 1.836, -0.484616969, 4.279134113, 293.5552301, 10.524, -2.021720848, 12.74705763, 293.8647707, 0.616, -0.138296866, -4.142141782, 293.648401, 128, 0.087966076, 66.0021231, 293.15298
15.86, -2.224208563, 15.17186203, 294.0645331, 2.08, -0.508740234, 4.483179785, 293.5607913, 10.768, -1.949594464, 12.76524364, 293.8624203, 0.86, -0.326684145, -3.709897846, 293.6839787, 130, 0.084977835, 66.00393575, 293.15298
16.104, -2.435422606, 15.58403233, 294.1515761, 2.324, -0.54309106, 4.650756647, 293.5645547, 11.012, -1.842350092, 12.80161566, 293.8578081, 1.104, -0.537254956, -3.277653911, 293.6945671, 132, 0.08591166, 66.00574841, 293.1529799
16.348, -2.620139342, 15.92658628, 294.2556939, 2.568, -0.58602666, 4.801575824, 293.5671198, 11.256, -1.696905185, 12.87435969, 293.8491326, 1.348, -0.765209726, -2.845409976, 293.6828756, 134, 0.089833727, 66.00937373, 293.1529799
16.592, -2.776662041, 16.23431157, 294.3728885, 2.812, -0.635151548, 4.952395, 293.5686324, 11.5, -1.510366577, 13.01984775, 293.8356335, 1.592, -1.005343384, -2.41316604, 293.6560521, 136, 0.095623444, 66.01299904, 293.1529799
16.836, -2.90389592, 16.51126433, 294.4946359, 3.056, -0.687322405, 5.073923231, 293.5690736, 11.744, -1.280075288, 13.12525388, 293.8288003, 1.836, -1.25209627, -2.215341805, 293.6397272, 138, 0.103841107, 66.01662436, 293.1529798
17.08, -3.001359627, 16.7882171, 294.6291427, 3.3, -0.738728417, 5.183298638, 293.5688121, 11.988, -1.003699691, 13.23066002, 293.8257636, 2.08, -1.499708796, -2.01751757, 293.6235248, 140, 0.112805831, 66.02387499, 293.1529798
17.324, -3.069215267, 17.06516986, 294.7719644, 3.544, -0.784806489, 5.292674046, 293.5678996, 12.232, -0.679306459, 13.33606615, 293.8276106, 2.324, -1.742394151, -1.945452285, 293.6176885, 142, 0.122330849, 66.03112562, 293.1529797
17.568, -3.108095031, 17.61907538, 295.0599683, 3.788, -0.820386304, 5.402049454, 293.5663555, 12.476, -0.30539817, 13.44147228, 293.8352166, 2.568, -1.974487055, -1.880593528, 293.6125123, 144, 0.132416163, 66.04562689, 293.1529795
17.812, -3.119098098, 18.1729809, 295.3276879, 4.032, -0.839709461, 5.511424861, 293.5644511, 12.72, 0.119012982, 13.65228455, 293.8819172, 2.812, -2.19056005, -1.84816415, 293.6099476, 146, 0.143435303, 66.06012815, 293.1529794
18.056, -3.103679993, 18.72688642, 295.547598, 4.276, -0.836503865, 5.553073407, 293.5635916, 12.964, 0.594340297, 13.80653806, 293.9373742, 3.056, -2.385608765, -1.831949461, 293.6086718, 148, 0.158002978, 66.08913068, 293.1529791
18.3, -3.063636735, 19.28079195, 295.7004803, 4.52, -0.804121391, 5.590557098, 293.5627709, 13.208, 1.120431371, 13.96079158, 294.0186299, 3.3, -2.555088988, -1.8223979, 293.6079228, 150, 0.171636829, 66.14713573, 293.1529785
